coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0000008	1	1	E4	E4	hourglass
FBgn0000014	5	2	E3	E3	uniform_high
FBgn0000015	3	2	E3	E3	inverse_hourglass
FBgn0000017	4	2	E4	E4	late_constraint
FBgn0000032	1	3	E1	E1	hourglass
FBgn0000053	2	1	E6	broad	early_constraint
FBgn0000057	5	3	E3	E3	uniform_high
FBgn0000075	3	2	E4	E4	inverse_hourglass
FBgn0000077	5	1	E1	E1	uniform_high
FBgn0000079	5	4	E8	E8	uniform_high
FBgn0000097	4	5	E2	E2	late_constraint
FBgn0000108	3	2	E8	E8	inverse_hourglass
FBgn0000109	5	2	E1	broad	uniform_high
FBgn0000114	1	5	E6	E6	hourglass
FBgn0000115	6	5	E1	E1	uniform_low
FBgn0000119	4	2	E3	E3	late_constraint
FBgn0000139	2	2	E1	E1	early_constraint
FBgn0000140	4	2	E1	E1	late_constraint
FBgn0000146	4	5	E1	E1	late_constraint
FBgn0000147	6	5	E2	E2	uniform_low
FBgn0000163	4	2	E3	E3	late_constraint
FBgn0000166	1	1	E1	E1	hourglass
FBgn0000183	5	1	E4	E4	uniform_high
FBgn0000212	6	2	E3	E3	uniform_low
FBgn0000221	3	5	E1	E1	inverse_hourglass
FBgn0000227	6	1	E1	E1	uniform_low
FBgn0000228	1	3	E1	E1	hourglass
FBgn0000229	6	2	E2	E2	uniform_low
FBgn0000239	6	4	E1	E1	uniform_low
FBgn0000244	2	4	E6	E6	early_constraint
FBgn0000250	2	4	E1	E1	early_constraint
FBgn0000251	5	1	E1	E1	uniform_high
FBgn0000257	5	5	E3	E3	uniform_high
FBgn0000261	2	4	E5	broad	early_constraint
FBgn0000273	3	2	E6	broad	inverse_hourglass
FBgn0000283	4	1	E1	E1	late_constraint
FBgn0000286	4	1	E4	E4	late_constraint
FBgn0000289	4	2	E3	broad	late_constraint
FBgn0000307	1	1	E2	E2	hourglass
FBgn0000316	6	2	E1	E1	uniform_low
FBgn0000317	6	2	E4	E4	uniform_low
