Assembly1	Assembly2	Size
211000022280476	chrUn_DS483757v1	6900
Y_mapped_Scaffold_26_D1717	chrY_CP007115v1_random	21921
211000022279067	chrX_DS485617v1_random	1093
Unmapped_Scaffold_58_D1862	chrUn_CP007100v1	10091
211000022279000	chrUn_DS484301v1	2394
211000022278621	chrX_DS484670v1_random	1704
211000022280042	chrX_DS483660v1_random	13394
211000022279691	chrUn_DS484722v1	1577
211000022278584	chrX_DS484723v1_random	1577
211000022278694	chrX_DS484572v1_random	1891
211000022278341	chrX_DS484358v1_random	2286
211000022280471	chrUn_DS483925v1	3755
3Cen_mapped_Scaffold_50_D1686	chrUn_CP007079v1	23238
211000022280327	chrUn_DS484917v1	1351
211000022280536	chrUn_DS484092v1	2924
211000022280087	chrUn_DS483814v1	4986
211000022279609	chrUn_DS485948v1	1015
211000022279113	chrX_DS485950v1_random	1015
211000022279829	chrUn_DS483679v1	12424
211000022278978	chrUn_DS483678v1	12424
211000022279692	chrUn_DS485010v1	1286
211000022278940	chrUn_DS485322v1	1168
211000022278498	chrX_DS483648v1_random	13940
211000022278256	chrUn_DS484881v1	1380
211000022278836	chrX_DS484880v1_random	1380
211000022278962	chrUn_DS485000v1	1293
211000022278320	chrX_DS484429v1_random	2113
211000022278490	chrX_DS484431v1_random	2113
211000022278343	chrX_DS484430v1_random	2113
211000022280326	chrUn_DS484617v1	1801
211000022278214	chrY_DS484805v1_random	1459
211000022279695	chrUn_DS483749v1	8007
211000022279712	chrUn_DS484503v1	1988
211000022278872	chrY_DS484781v1_random	1485
211000022278392	chrUn_DS483938v1	3650
211000022278521	chrUn_DS484739v1	1549
211000022279204	chrUn_DS484806v1	1458
211000022280525	chrUn_DS483954v1	3554
211000022278802	chrY_DS484266v1_random	2477
211000022280617	chrUn_DS484432v1	2112
211000022280544	chrUn_DS484095v1	2919
211000022278860	chrUn_DS484369v1	2253
211000022280270	chrX_DS483666v1_random	13108
211000022278548	chrUn_DS484844v1	1415
rDNA	chrUn_CP007120v1	76973
211000022279355	chrUn_DS485582v1	1105
211000022278345	chrUn_DS485578v1	1105
211000022280097	chrUn_DS485584v1	1105
211000022279359	chrUn_DS485583v1	1105
211000022280123	chrUn_DS485579v1	1105
211000022278603	chrUn_DS485581v1	1105
211000022280081	chrUn_DS485176v1	1219
211000022279017	chrUn_DS485173v1	1219
211000022279647	chrUn_DS485174v1	1219
211000022278870	chrUn_DS485395v1	1150
211000022280106	chrUn_DS485393v1	1150
211000022278714	chrUn_DS484976v1	1308
211000022278812	chrX_DS484555v1_random	1916
211000022280622	chrX_DS484556v1_random	1916
211000022278511	chrUn_DS485506v1	1123
211000022279055	chrUn_DS485509v1	1123
211000022280268	chrUn_DS485503v1	1123
211000022278145	chrUn_DS485504v1	1123
211000022278328	chrUn_DS485505v1	1123
211000022280010	chrUn_DS484105v1	2889
X	chrX	23542271
211000022280284	chrUn_DS484196v1	2644
211000022278982	chrUn_DS484508v1	1976
211000022279851	chrUn_DS484509v1	1976
211000022280314	chrUn_DS485198v1	1209
211000022279302	chrX_DS485195v1_random	1209
211000022279648	chrUn_DS485194v1	1209
