Gene stable ID,RefSeq mRNA ID
FBti0019141,
FBti0019141,
FBti0019141,
FBgn0053832,NM_001032160
FBgn0053832,NM_001032160
FBgn0053832,NM_001032160
FBti0060911,
FBti0060911,
FBti0060911,
FBgn0267657,
FBgn0267657,
FBgn0267657,
FBgn0262170,NM_001370015
FBgn0262170,NM_001370015
FBgn0262170,NM_001370015
FBgn0263538,
FBgn0263538,
FBgn0263538,
FBgn0038189,NM_142065
FBgn0038189,NM_142065
FBgn0038189,NM_142065
FBgn0085193,NM_001298937
FBgn0085193,NM_001298937
FBgn0085193,NM_001298937
FBgn0085193,NM_001103682
FBgn0085193,NM_001103682
FBgn0085193,NM_001103682
FBti0063175,
FBti0063175,
FBti0063175,
FBgn0037583,NM_141540
FBgn0037583,NM_141540
FBgn0037583,NM_141540
FBgn0047038,NM_140152
FBgn0047038,NM_140152
FBgn0047038,NM_140152
FBgn0044324,NM_168975
FBgn0044324,NM_168975
FBgn0044324,NM_168975
FBgn0044324,NM_001300221
FBgn0044324,NM_001300221
FBgn0044324,NM_001300221
FBgn0044324,NM_141169
FBgn0044324,NM_141169
FBgn0044324,NM_141169
FBgn0044324,NM_168976
FBgn0044324,NM_168976
FBgn0044324,NM_168976
FBgn0044324,NM_001275297
FBgn0044324,NM_001275297
FBgn0044324,NM_001275297
FBgn0038606,NM_142456
FBgn0038606,NM_142456
FBgn0038606,NM_142456
FBgn0038606,NM_001300459
FBgn0038606,NM_001300459
FBgn0038606,NM_001300459
FBgn0267702,
FBgn0267702,
FBgn0267702,
FBgn0083949,NM_001043216
FBgn0083949,NM_001043216
FBgn0083949,NM_001043216
FBgn0264443,NM_001273686
FBgn0264443,NM_001273686
FBgn0264443,NM_001273686
FBgn0264443,NM_001169548
FBgn0264443,NM_001169548
FBgn0264443,NM_001169548
FBgn0264443,NM_001299164
FBgn0264443,NM_001299164
FBgn0264443,NM_001299164
FBgn0264443,NM_136173
FBgn0264443,NM_136173
FBgn0264443,NM_136173
FBgn0000153,NM_001259096
FBgn0000153,NM_001259096
FBgn0000153,NM_001259096
FBgn0000153,NM_057440
FBgn0000153,NM_057440
FBgn0000153,NM_057440
FBgn0000153,NM_001298981
FBgn0000153,NM_001298981
FBgn0000153,NM_001298981
FBti0064133,
FBti0064133,
FBti0064133,
FBgn0034487,NM_137615
FBgn0034487,NM_137615
FBgn0034487,NM_137615
FBgn0038054,NM_141947
FBgn0038054,NM_141947
FBgn0038054,NM_141947
FBgn0034405,NM_137542
FBgn0034405,NM_137542
FBgn0034405,NM_137542
FBgn0034405,NM_176233
FBgn0034405,NM_176233
FBgn0034405,NM_176233
FBgn0034665,NM_137771
FBgn0034665,NM_137771
FBgn0034665,NM_137771
FBgn0266730,
FBgn0266730,
FBgn0266730,
FBgn0030823,NM_132969
FBgn0030823,NM_132969
FBgn0030823,NM_132969
FBgn0035607,NM_139708
FBgn0035607,NM_139708
FBgn0035607,NM_139708
FBgn0004368,NM_001169198
FBgn0004368,NM_001169198
FBgn0004368,NM_001169198
FBgn0004368,NM_001169199
FBgn0004368,NM_001169199
FBgn0004368,NM_001169199
FBgn0004368,NM_080337
FBgn0004368,NM_080337
FBgn0004368,NM_080337
FBgn0004368,NM_001297946
FBgn0004368,NM_001297946
FBgn0004368,NM_001297946
FBgn0004368,NM_001169200
FBgn0004368,NM_001169200
FBgn0004368,NM_001169200
FBgn0004368,NM_001169201
FBgn0004368,NM_001169201
FBgn0004368,NM_001169201
FBgn0004368,NM_167024
FBgn0004368,NM_167024
FBgn0004368,NM_167024
FBgn0286036,
FBgn0286036,
FBgn0286036,
FBti0062759,
FBti0062759,
FBti0062759,
FBgn0035906,NM_168277
FBgn0035906,NM_168277
FBgn0035906,NM_168277
FBgn0035906,NM_139979
FBgn0035906,NM_139979
FBgn0035906,NM_139979
FBti0060461,
FBti0060461,
FBti0060461,
FBgn0051383,
FBgn0051383,
FBgn0051383,
FBgn0039612,NM_143387
FBgn0039612,NM_143387
FBgn0039612,NM_143387
FBgn0266488,NM_001299647
FBgn0266488,NM_001299647
FBgn0266488,NM_001299647
FBti0102101,
FBti0102101,
FBti0102101,
FBgn0031498,NM_001273054
FBgn0031498,NM_001273054
FBgn0031498,NM_001273054
FBgn0031498,NM_001298646
FBgn0031498,NM_001298646
FBgn0031498,NM_001298646
FBgn0031498,NM_134900
FBgn0031498,NM_134900
FBgn0031498,NM_134900
FBti0020231,
FBti0020231,
FBti0020231,
FBgn0037409,NM_141363
FBgn0037409,NM_141363
FBgn0037409,NM_141363
FBti0060759,
FBti0060759,
FBti0060759,
FBgn0266825,
FBgn0266825,
FBgn0266825,
FBti0062560,
FBti0062560,
FBti0062560,
FBgn0266740,
FBgn0266740,
FBgn0266740,
RR48333_transposable_element,
RR48333_transposable_element,
RR48333_transposable_element,
FBgn0266039,
FBgn0266039,
FBgn0266039,
FBgn0034540,NM_001299711
FBgn0034540,NM_001299711
FBgn0034540,NM_001299711
FBgn0034540,NM_137662
FBgn0034540,NM_137662
FBgn0034540,NM_137662
FBgn0038788,NM_142623
FBgn0038788,NM_142623
FBgn0038788,NM_142623
FBgn0038788,NM_001300493
FBgn0038788,NM_001300493
FBgn0038788,NM_001300493
FBti0062989,
FBti0062989,
FBti0062989,
FBti0061103,
FBti0061103,
FBti0061103,
FBgn0265888,
FBgn0265888,
FBgn0265888,
FBti0061585,
FBti0061585,
FBti0061585,
FBgn0031282,NM_001272915
FBgn0031282,NM_001272915
FBgn0031282,NM_001272915
FBgn0031282,NM_134702
FBgn0031282,NM_134702
FBgn0031282,NM_134702
FBti0061880,
FBti0061880,
FBti0061880,
FBgn0032835,NM_136171
FBgn0032835,NM_136171
FBgn0032835,NM_136171
FBgn0032835,NM_001299163
FBgn0032835,NM_001299163
FBgn0032835,NM_001299163
FBti0060621,
FBti0060621,
FBti0060621,
FBti0060372,
FBti0060372,
FBti0060372,
FBgn0026079,NM_143750
FBgn0026079,NM_143750
FBgn0026079,NM_143750
FBgn0026398,NM_078729
FBgn0026398,NM_078729
FBgn0026398,NM_078729
FBgn0004782,NM_141425
FBgn0004782,NM_141425
FBgn0004782,NM_141425
FBgn0265347,
FBgn0265347,
FBgn0265347,
FBgn0063670,NM_001110956
FBgn0063670,NM_001110956
FBgn0063670,NM_001110956
FBgn0063670,NM_001276238
FBgn0063670,NM_001276238
FBgn0063670,NM_001276238
FBgn0063670,NM_001110955
FBgn0063670,NM_001110955
FBgn0063670,NM_001110955
FBgn0063670,NM_001276237
FBgn0063670,NM_001276237
FBgn0063670,NM_001276237
FBgn0039911,NM_143671
FBgn0039911,NM_143671
FBgn0039911,NM_143671
FBgn0039911,NM_166773
FBgn0039911,NM_166773
FBgn0039911,NM_166773
FBti0019331,
FBti0019331,
FBti0019331,
FBgn0031531,NM_134930
FBgn0031531,NM_134930
FBgn0031531,NM_134930
FBgn0265986,
FBgn0265986,
FBgn0265986,
FBgn0266198,
FBgn0266198,
FBgn0266198,
FBgn0035859,NM_139936
FBgn0035859,NM_139936
FBgn0035859,NM_139936
FBgn0000427,NM_078517
FBgn0000427,NM_078517
FBgn0000427,NM_078517
FBgn0000427,NM_001258640
FBgn0000427,NM_001258640
FBgn0000427,NM_001258640
FBgn0000427,NM_167133
FBgn0000427,NM_167133
FBgn0000427,NM_167133
FBgn0000427,NM_001258641
FBgn0000427,NM_001258641
FBgn0000427,NM_001258641
FBgn0000427,NM_001258642
FBgn0000427,NM_001258642
FBgn0000427,NM_001258642
FBgn0000427,NM_167132
FBgn0000427,NM_167132
FBgn0000427,NM_167132
FBti0062448,
FBti0062448,
FBti0062448,
FBgn0036711,NM_140712
FBgn0036711,NM_140712
FBgn0036711,NM_140712
FBgn0032919,NM_136246
FBgn0032919,NM_136246
FBgn0032919,NM_136246
FBgn0036580,NM_140591
FBgn0036580,NM_140591
FBgn0036580,NM_140591
FBgn0032004,NM_135354
FBgn0032004,NM_135354
FBgn0032004,NM_135354
FBgn0034829,NM_137920
FBgn0034829,NM_137920
FBgn0034829,NM_137920
FBgn0038799,NM_169898
FBgn0038799,NM_169898
FBgn0038799,NM_169898
FBgn0038799,NM_142632
FBgn0038799,NM_142632
FBgn0038799,NM_142632
FBti0019757,
FBti0019757,
FBti0019757,
FBtr0472796_df_nrg,
FBtr0472796_df_nrg,
FBtr0472796_df_nrg,
FBgn0032586,NM_001273573
FBgn0032586,NM_001273573
FBgn0032586,NM_001273573
FBgn0032586,NM_001273572
FBgn0032586,NM_001273572
FBgn0032586,NM_001273572
FBgn0032586,NM_165164
FBgn0032586,NM_165164
FBgn0032586,NM_165164
FBgn0032586,NM_078860
FBgn0032586,NM_078860
FBgn0032586,NM_078860
FBgn0032586,NM_001273571
FBgn0032586,NM_001273571
FBgn0032586,NM_001273571
FBtr0309602_df_nrg,
FBtr0309602_df_nrg,
FBtr0309602_df_nrg,
FBti0062269,
FBti0062269,
FBti0062269,
FBgn0029512,NM_141941
FBgn0029512,NM_141941
FBgn0029512,NM_141941
FBgn0052643,NM_167345
FBgn0052643,NM_167345
FBgn0052643,NM_167345
FBtr0304413_df_nrg,
FBtr0304413_df_nrg,
FBtr0304413_df_nrg,
FBgn0011866,
FBgn0011866,
FBgn0011866,
FBgn0085309,NM_001104351
FBgn0085309,NM_001104351
FBgn0085309,NM_001104351
FBti0060797,
FBti0060797,
FBti0060797,
FBgn0039859,NM_001276219
FBgn0039859,NM_001276219
FBgn0039859,NM_001276219
FBgn0039859,NM_143620
FBgn0039859,NM_143620
FBgn0039859,NM_143620
FBgn0264437,
FBgn0264437,
FBgn0264437,
FBgn0264437,
FBgn0264437,
FBgn0264437,
FBti0062220,
FBti0062220,
FBti0062220,
FBgn0035358,NM_139477
FBgn0035358,NM_139477
FBgn0035358,NM_139477
FBti0062310,
FBti0062310,
FBti0062310,
FBgn0031441,NM_134853
FBgn0031441,NM_134853
FBgn0031441,NM_134853
FBgn0286027,NM_078844
FBgn0286027,NM_078844
FBgn0286027,NM_078844
FBgn0267268,
FBgn0267268,
FBgn0267268,
FBti0020085,
FBti0020085,
FBti0020085,
FBgn0039754,NM_001300675
FBgn0039754,NM_001300675
FBgn0039754,NM_001300675
FBgn0039754,NM_143522
FBgn0039754,NM_143522
FBgn0039754,NM_143522
FBti0060800,
FBti0060800,
FBti0060800,
FBgn0030242,NM_132431
FBgn0030242,NM_132431
FBgn0030242,NM_132431
FBgn0030242,NM_001298163
FBgn0030242,NM_001298163
FBgn0030242,NM_001298163
FBgn0039120,NM_142930
FBgn0039120,NM_142930
FBgn0039120,NM_142930
FBgn0039120,NM_001260337
FBgn0039120,NM_001260337
FBgn0039120,NM_001260337
FBgn0039120,NM_001275956
FBgn0039120,NM_001275956
FBgn0039120,NM_001275956
FBti0063205,
FBti0063205,
FBti0063205,
FBgn0033423,NM_136652
FBgn0033423,NM_136652
FBgn0033423,NM_136652
FBti0060974,
FBti0060974,
FBti0060974,
FBti0062668,
FBti0062668,
FBti0062668,
FBti0061922,
FBti0061922,
FBti0061922,
FBti0020390,
FBti0020390,
FBti0020390,
FBgn0266084,NM_168293
FBgn0266084,NM_168293
FBgn0266084,NM_168293
FBgn0266084,NM_001259753
FBgn0266084,NM_001259753
FBgn0266084,NM_001259753
FBgn0266084,NM_001202143
FBgn0266084,NM_001202143
FBgn0266084,NM_001202143
FBgn0266084,NM_001274670
FBgn0266084,NM_001274670
FBgn0266084,NM_001274670
FBgn0266084,NM_001259755
FBgn0266084,NM_001259755
FBgn0266084,NM_001259755
FBgn0266084,NM_001202142
FBgn0266084,NM_001202142
FBgn0266084,NM_001202142
FBgn0266084,NM_001259754
FBgn0266084,NM_001259754
FBgn0266084,NM_001259754
FBgn0266084,NM_168294
FBgn0266084,NM_168294
FBgn0266084,NM_168294
FBgn0266084,NM_001169916
FBgn0266084,NM_001169916
FBgn0266084,NM_001169916
FBgn0020372,NM_001274230
FBgn0020372,NM_001274230
FBgn0020372,NM_001274230
FBgn0020372,NM_001038879
FBgn0020372,NM_001038879
FBgn0020372,NM_001038879
FBgn0020372,NM_057900
FBgn0020372,NM_057900
FBgn0020372,NM_057900
FBtr0304274_df_nrg,
FBtr0304274_df_nrg,
FBtr0304274_df_nrg,
FBgn0264336,
FBgn0264336,
FBgn0264336,
FBgn0086069,
FBgn0086069,
FBgn0086069,
FBgn0053365,
FBgn0053365,
FBgn0053365,
FBti0060681,
FBti0060681,
FBti0060681,
FBgn0065109,NM_001347761
FBgn0065109,NM_001347761
FBgn0065109,NM_001347761
FBtr0304500_df_nrg,
FBtr0304500_df_nrg,
FBtr0304500_df_nrg,
FBgn0053816,NM_001032133
FBgn0053816,NM_001032133
FBgn0053816,NM_001032133
FBgn0029892,NM_132113
FBgn0029892,NM_132113
FBgn0029892,NM_132113
FBgn0026207,NM_079606
FBgn0026207,NM_079606
FBgn0026207,NM_079606
FBgn0003206,NM_079193
FBgn0003206,NM_079193
FBgn0003206,NM_079193
FBti0063189,
FBti0063189,
FBti0063189,
FBgn0011279,NM_079315
FBgn0011279,NM_079315
FBgn0011279,NM_079315
FBgn0030829,NM_001298439
FBgn0030829,NM_001298439
FBgn0030829,NM_001298439
FBgn0030829,NM_132975
FBgn0030829,NM_132975
FBgn0030829,NM_132975
FBgn0035600,NM_139701
FBgn0035600,NM_139701
FBgn0035600,NM_139701
FBgn0035600,NM_001259708
FBgn0035600,NM_001259708
FBgn0035600,NM_001259708
FBti0060387,
FBti0060387,
FBti0060387,
FBti0063913,
FBti0063913,
FBti0063913,
FBtr0472762_df_nrg,
FBtr0472762_df_nrg,
FBtr0472762_df_nrg,
FBgn0266331,
FBgn0266331,
FBgn0266331,
FBgn0033087,NM_001169591
FBgn0033087,NM_001169591
FBgn0033087,NM_001169591
FBgn0033087,NM_136405
FBgn0033087,NM_136405
FBgn0033087,NM_136405
FBgn0032519,NM_135806
FBgn0032519,NM_135806
FBgn0032519,NM_135806
FBgn0032519,NM_001298968
FBgn0032519,NM_001298968
FBgn0032519,NM_001298968
FBgn0261628,NM_001201872
FBgn0261628,NM_001201872
FBgn0261628,NM_001201872
FBgn0031054,NM_001272796
FBgn0031054,NM_001272796
FBgn0031054,NM_001272796
FBgn0031054,NM_134498
FBgn0031054,NM_134498
FBgn0031054,NM_134498
FBgn0031054,NM_001298526
FBgn0031054,NM_001298526
FBgn0031054,NM_001298526
FBgn0051418,NM_142358
FBgn0051418,NM_142358
FBgn0051418,NM_142358
FBti0019404,
FBti0019404,
FBti0019404,
FBti0215354,
FBti0215354,
FBti0215354,
FBgn0053437,
FBgn0053437,
FBgn0053437,
FBgn0262393,
FBgn0262393,
FBgn0262393,
FBgn0261636,
FBgn0261636,
FBgn0261636,
FBti0061435,
FBti0061435,
FBti0061435,
FBgn0260429,NM_001299536
FBgn0260429,NM_001299536
FBgn0260429,NM_001299536
FBgn0260429,NM_001259417
FBgn0260429,NM_001259417
FBgn0260429,NM_001259417
FBgn0260429,NM_001169689
FBgn0260429,NM_001169689
FBgn0260429,NM_001169689
FBti0019826,
FBti0019826,
FBti0019826,
FBti0215360,
FBti0215360,
FBti0215360,
FBti0062730,
FBti0062730,
FBti0062730,
FBgn0050021,NM_001299380
FBgn0050021,NM_001299380
FBgn0050021,NM_001299380
FBgn0050021,NM_001144170
FBgn0050021,NM_001144170
FBgn0050021,NM_001144170
FBgn0050021,NM_136798
FBgn0050021,NM_136798
FBgn0050021,NM_136798
FBgn0050021,NM_001144171
FBgn0050021,NM_001144171
FBgn0050021,NM_001144171
FBgn0019968,NM_176176
FBgn0019968,NM_176176
FBgn0019968,NM_176176
FBgn0019968,NM_001299533
FBgn0019968,NM_001299533
FBgn0019968,NM_001299533
FBgn0019968,NM_001274070
FBgn0019968,NM_001274070
FBgn0019968,NM_001274070
FBgn0019968,NM_001274071
FBgn0019968,NM_001274071
FBgn0019968,NM_001274071
FBgn0019968,NM_135357
FBgn0019968,NM_135357
FBgn0019968,NM_135357
FBgn0032946,NM_165378
FBgn0032946,NM_165378
FBgn0032946,NM_165378
FBgn0032946,NM_136264
FBgn0032946,NM_136264
FBgn0032946,NM_136264
FBgn0032946,NM_001273746
FBgn0032946,NM_001273746
FBgn0032946,NM_001273746
FBgn0032946,NM_165379
FBgn0032946,NM_165379
FBgn0032946,NM_165379
FBgn0265313,NM_001299305
FBgn0265313,NM_001299305
FBgn0265313,NM_001299305
FBgn0265313,NM_001299306
FBgn0265313,NM_001299306
FBgn0265313,NM_001299306
FBgn0265313,NM_001299304
FBgn0265313,NM_001299304
FBgn0265313,NM_001299304
FBgn0265313,NM_001299303
FBgn0265313,NM_001299303
FBgn0265313,NM_001299303
FBgn0026390,NM_078831
FBgn0026390,NM_078831
FBgn0026390,NM_078831
FBgn0004620,NM_078760
FBgn0004620,NM_078760
FBgn0004620,NM_078760
FBti0062316,
FBti0062316,
FBti0062316,
FBgn0038425,NM_169718
FBgn0038425,NM_169718
FBgn0038425,NM_169718
FBgn0038425,NM_142284
FBgn0038425,NM_142284
FBgn0038425,NM_142284
FBgn0036853,NM_001300183
FBgn0036853,NM_001300183
FBgn0036853,NM_001300183
FBgn0036853,NM_140838
FBgn0036853,NM_140838
FBgn0036853,NM_140838
FBgn0036853,NM_001275110
FBgn0036853,NM_001275110
FBgn0036853,NM_001275110
FBgn0286976,NM_001382153
FBgn0286976,NM_001382153
FBgn0286976,NM_001382153
FBgn0052069,NM_168435
FBgn0052069,NM_168435
FBgn0052069,NM_168435
FBgn0037449,NM_141403
FBgn0037449,NM_141403
FBgn0037449,NM_141403
FBgn0033919,NM_166044
FBgn0033919,NM_166044
FBgn0033919,NM_166044
FBgn0033919,NM_001299486
FBgn0033919,NM_001299486
FBgn0033919,NM_001299486
FBgn0033919,NM_137103
FBgn0033919,NM_137103
FBgn0033919,NM_137103
FBgn0050029,
FBgn0050029,
FBgn0050029,
FBgn0050029,
FBgn0050029,
FBgn0050029,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0263617,
FBgn0264697,
FBgn0264697,
FBgn0264697,
FBti0059644,
FBti0059644,
FBti0059644,
FBti0019179,
FBti0019179,
FBti0019179,
FBti0102119,
FBti0102119,
FBti0102119,
FBgn0029952,NM_132171
FBgn0029952,NM_132171
FBgn0029952,NM_132171
FBgn0260741,NM_141875
FBgn0260741,NM_141875
FBgn0260741,NM_141875
FBgn0036146,NM_140193
FBgn0036146,NM_140193
FBgn0036146,NM_140193
FBgn0029094,NM_079439
FBgn0029094,NM_079439
FBgn0029094,NM_079439
FBgn0029094,NM_001202202
FBgn0029094,NM_001202202
FBgn0029094,NM_001202202
FBti0062986,
FBti0062986,
FBti0062986,
FBgn0034195,NM_001043088
FBgn0034195,NM_001043088
FBgn0034195,NM_001043088
FBgn0267635,
FBgn0267635,
FBgn0267635,
FBgn0267635,
FBgn0267635,
FBgn0267635,
FBgn0036730,NM_001275059
FBgn0036730,NM_001275059
FBgn0036730,NM_001275059
FBgn0036730,NM_140730
FBgn0036730,NM_140730
FBgn0036730,NM_140730
FBgn0029980,NM_001272387
FBgn0029980,NM_001272387
FBgn0029980,NM_001272387
FBgn0029980,NM_132197
FBgn0029980,NM_132197
FBgn0029980,NM_132197
FBgn0004591,NM_079367
FBgn0004591,NM_079367
FBgn0004591,NM_079367
FBgn0287669,
FBgn0287669,
FBgn0287669,
FBgn0287669,
FBgn0287669,
FBgn0287669,
FBgn0259998,NM_136265
FBgn0259998,NM_136265
FBgn0259998,NM_136265
FBgn0259998,NM_001299167
FBgn0259998,NM_001299167
FBgn0259998,NM_001299167
FBti0059722,
FBti0059722,
FBti0059722,
FBgn0016081,NM_168357
FBgn0016081,NM_168357
FBgn0016081,NM_168357
FBgn0016081,NM_001259772
FBgn0016081,NM_001259772
FBgn0016081,NM_001259772
FBgn0016081,NM_001274709
FBgn0016081,NM_001274709
FBgn0016081,NM_001274709
FBgn0016081,NM_001259770
FBgn0016081,NM_001259770
FBgn0016081,NM_001259770
FBgn0016081,NM_001274710
FBgn0016081,NM_001274710
FBgn0016081,NM_001274710
FBgn0016081,NM_001259771
FBgn0016081,NM_001259771
FBgn0016081,NM_001259771
FBgn0016081,NM_168356
FBgn0016081,NM_168356
