Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Transcription start site (TSS)
ENSDARG00000063344	24	20927135	20934666	1	20927202
ENSDARG00000063344	24	20927135	20934666	1	20927135
ENSDARG00000097685	17	50460321	50472985	-1	50472985
ENSDARG00000097685	17	50460321	50472985	-1	50472864
ENSDARG00000036008	1	49266886	49295059	1	49266886
ENSDARG00000069301	9	29034221	29039506	-1	29039506
ENSDARG00000069301	9	29034221	29039506	-1	29036263
ENSDARG00000104901	7	59169081	59176338	1	59169081
ENSDARG00000031836	1	44949909	44963259	1	44949909
ENSDARG00000031836	1	44949909	44963259	1	44950170
ENSDARG00000103391	14	14603731	14607855	-1	14607855
ENSDARG00000103391	14	14603731	14607855	-1	14604527
ENSDARG00000030463	7	35229645	35243976	1	35229645
ENSDARG00000030463	7	35229645	35243976	1	35229805
ENSDARG00000030463	7	35229645	35243976	1	35238234
ENSDARG00000103031	4	55507920	55592720	-1	55592720
ENSDARG00000103031	4	55507920	55592720	-1	55592207
ENSDARG00000070447	17	48126944	48157178	1	48126944
ENSDARG00000080018	13	34627550	34683370	-1	34683370
ENSDARG00000036109	19	24448584	24484758	-1	24484758
ENSDARG00000029612	8	36591791	36618073	-1	36618073
ENSDARG00000075759	17	15033822	15117508	1	15033822
ENSDARG00000075759	17	15033822	15117508	1	15041647
ENSDARG00000068484	11	44324761	44335322	1	44324761
ENSDARG00000068484	11	44324761	44335322	1	44328774
ENSDARG00000068484	11	44324761	44335322	1	44324761
ENSDARG00000057635	21	13217896	13225402	-1	13225402
ENSDARG00000057635	21	13217896	13225402	-1	13225402
ENSDARG00000032737	5	23353570	23429228	-1	23362602
ENSDARG00000032737	5	23353570	23429228	-1	23429228
ENSDARG00000032737	5	23353570	23429228	-1	23357402
ENSDARG00000053517	17	43039463	43287290	-1	43287290
ENSDARG00000053517	17	43039463	43287290	-1	43044513
ENSDARG00000053517	17	43039463	43287290	-1	43286903
ENSDARG00000111826	11	12450564	12452482	-1	12452482
ENSDARG00000111826	11	12450564	12452482	-1	12452313
ENSDARG00000111826	11	12450564	12452482	-1	12452313
ENSDARG00000098335	4	36875204	36875984	1	36875204
ENSDARG00000092715	8	26220175	26229796	-1	26229796
ENSDARG00000095834	1	46250113	46251822	1	46250113
ENSDARG00000015793	7	38897836	38954874	1	38897836
ENSDARG00000015793	7	38897836	38954874	1	38936132
ENSDARG00000015793	7	38897836	38954874	1	38898208
ENSDARG00000044573	11	39120306	39148199	1	39120306
ENSDARG00000044573	11	39120306	39148199	1	39120332
ENSDARG00000044573	11	39120306	39148199	1	39135050
ENSDARG00000044573	11	39120306	39148199	1	39135086
ENSDARG00000025206	23	6232895	6313808	1	6277175
ENSDARG00000025206	23	6232895	6313808	1	6232895
ENSDARG00000025206	23	6232895	6313808	1	6272638
ENSDARG00000042189	18	10967461	10995410	-1	10995410
ENSDARG00000076270	8	45226586	45279411	-1	45277370
ENSDARG00000076270	8	45226586	45279411	-1	45279411
ENSDARG00000045415	24	8904135	8973300	1	8904741
ENSDARG00000045415	24	8904135	8973300	1	8904135
ENSDARG00000100099	4	36473781	36484943	-1	36484943
ENSDARG00000100099	4	36473781	36484943	-1	36476889
ENSDARG00000087916	23	24571812	24582606	-1	24582606
ENSDARG00000087916	23	24571812	24582606	-1	24582421
ENSDARG00000023058	17	6793001	6810785	1	6793001
ENSDARG00000100738	5	8492640	8526105	1	8492640
ENSDARG00000097888	15	11097869	11099720	-1	11099720
ENSDARG00000067711	25	5068442	5084539	1	5068442
ENSDARG00000091834	3	38705425	38745598	-1	38745598
ENSDARG00000068468	24	39443874	39511864	1	39468178
ENSDARG00000068468	24	39443874	39511864	1	39443874
ENSDARG00000068468	24	39443874	39511864	1	39493270
ENSDARG00000101806	10	36354863	36356642	1	36354863
ENSDARG00000105445	11	17093753	17097933	-1	17097930
ENSDARG00000105445	11	17093753	17097933	-1	17097933
ENSDARG00000105445	11	17093753	17097933	-1	17096432
ENSDARG00000105445	11	17093753	17097933	-1	17095206
ENSDARG00000078805	11	39112341	39118929	-1	39118929
ENSDARG00000078805	11	39112341	39118929	-1	39118882
ENSDARG00000058893	6	7085889	7109063	-1	7109063
ENSDARG00000058893	6	7085889	7109063	-1	7107868
ENSDARG00000058893	6	7085889	7109063	-1	7108646
ENSDARG00000088881	16	13505064	13516745	-1	13516745
ENSDARG00000095893	20	27222849	27225878	-1	27225876
ENSDARG00000095893	20	27222849	27225878	-1	27225878
ENSDARG00000095893	20	27222849	27225878	-1	27225878
ENSDARG00000095893	20	27222849	27225878	-1	27225064
ENSDARG00000062376	5	23283890	23317477	-1	23317477
ENSDARG00000039490	15	28410664	28425011	1	28410664
ENSDARG00000039490	15	28410664	28425011	1	28410808
ENSDARG00000039490	15	28410664	28425011	1	28410704
ENSDARG00000020986	8	3431671	3439484	1	3434146
ENSDARG00000020986	8	3431671	3439484	1	3431671
ENSDARG00000098626	7	17253149	17258812	-1	17258812
ENSDARG00000098626	7	17253149	17258812	-1	17258766
ENSDARG00000098626	7	17253149	17258812	-1	17258635
ENSDARG00000089187	23	12418613	12423778	-1	12423778
ENSDARG00000101165	4	55273988	55275497	1	55273988
ENSDARG00000003175	21	26536950	26554325	1	26536950
ENSDARG00000003175	21	26536950	26554325	1	26539157
ENSDARG00000074846	2	57953239	57991638	-1	57991638
ENSDARG00000074846	2	57953239	57991638	-1	57991041
ENSDARG00000026759	6	102506	109626	1	102506
ENSDARG00000026759	6	102506	109626	1	103361
ENSDARG00000026759	6	102506	109626	1	103361
ENSDARG00000098213	4	55165697	55167082	-1	55167082
ENSDARG00000098213	4	55165697	55167082	-1	55167060
ENSDARG00000033099	7	14393059	14446512	-1	14446512
ENSDARG00000033099	7	14393059	14446512	-1	14395357
ENSDARG00000096970	5	24202623	24228356	1	24219601
ENSDARG00000096970	5	24202623	24228356	1	24202623
ENSDARG00000024184	12	33460794	33474029	1	33460822
ENSDARG00000024184	12	33460794	33474029	1	33460823
ENSDARG00000024184	12	33460794	33474029	1	33460794
ENSDARG00000076901	8	45200860	45202077	-1	45202077
ENSDARG00000009341	12	30586599	30618440	1	30586717
ENSDARG00000009341	12	30586599	30618440	1	30586599
ENSDARG00000100546	10	36184751	36186346	1	36184751
ENSDARG00000090804	9	2522797	2560126	1	2522797
ENSDARG00000090804	9	2522797	2560126	1	2522803
ENSDARG00000016977	16	23495600	23524374	1	23495600
ENSDARG00000058538	15	19838458	19878987	1	19838458
ENSDARG00000102175	16	50289916	50292583	1	50289916
ENSDARG00000102175	16	50289916	50292583	1	50289916
ENSDARG00000018153	13	32446169	32453932	1	32446169
ENSDARG00000054533	5	26856253	26869392	1	26856259
ENSDARG00000054533	5	26856253	26869392	1	26856272
ENSDARG00000054533	5	26856253	26869392	1	26856259
ENSDARG00000054533	5	26856253	26869392	1	26856254
ENSDARG00000054533	5	26856253	26869392	1	26856259
ENSDARG00000054533	5	26856253	26869392	1	26856253
ENSDARG00000092243	8	45035418	45037752	-1	45037752
ENSDARG00000038154	17	43032529	43036291	1	43032554
ENSDARG00000038154	17	43032529	43036291	1	43032529
ENSDARG00000036420	7	20383841	20436781	1	20393386
ENSDARG00000036420	7	20383841	20436781	1	20384408
ENSDARG00000036420	7	20383841	20436781	1	20383841
ENSDARG00000098726	6	17725788	17999776	-1	17999776
ENSDARG00000098726	6	17725788	17999776	-1	17999776
ENSDARG00000098726	6	17725788	17999776	-1	17999776
ENSDARG00000098726	6	17725788	17999776	-1	17849786
ENSDARG00000098677	4	35960020	36033454	-1	36032177
ENSDARG00000098677	4	35960020	36033454	-1	36033377
ENSDARG00000098677	4	35960020	36033454	-1	36032930
ENSDARG00000098677	4	35960020	36033454	-1	36033454
ENSDARG00000096511	20	19382427	19385077	-1	19385077
ENSDARG00000037652	1	9873295	9885326	-1	9885320
ENSDARG00000037652	1	9873295	9885326	-1	9885326
ENSDARG00000027963	6	42545797	42598328	1	42587637
ENSDARG00000027963	6	42545797	42598328	1	42545797
ENSDARG00000097726	15	15173611	15218956	1	15173611
ENSDARG00000105456	11	43228412	43230364	-1	43230364
ENSDARG00000095680	11	38947987	38949751	-1	38949751
ENSDARG00000011821	24	5237709	5314707	1	5237753
ENSDARG00000011821	24	5237709	5314707	1	5237712
ENSDARG00000011821	24	5237709	5314707	1	5237753
ENSDARG00000011821	24	5237709	5314707	1	5237709
ENSDARG00000095576	11	38922744	38924944	-1	38924944
ENSDARG00000035875	19	32603627	32619257	1	32603627
ENSDARG00000057074	11	29770966	29790222	1	29770966
ENSDARG00000057074	11	29770966	29790222	1	29770966
ENSDARG00000075181	2	5521671	5536927	1	5521671
ENSDARG00000075181	2	5521671	5536927	1	5521672
ENSDARG00000077950	21	3775551	3787325	1	3778498
ENSDARG00000077950	21	3775551	3787325	1	3775551
ENSDARG00000079355	20	11098239	11178022	-1	11178022
ENSDARG00000044251	10	9159279	9184667	1	9159279
ENSDARG00000096398	6	8339298	8346939	1	8339298
ENSDARG00000003144	5	20115774	20123002	-1	20121024
ENSDARG00000003144	5	20115774	20123002	-1	20123002
ENSDARG00000016968	4	764100	779796	-1	772392
ENSDARG00000016968	4	764100	779796	-1	769631
ENSDARG00000016968	4	764100	779796	-1	769820
ENSDARG00000016968	4	764100	779796	-1	779796
ENSDARG00000090063	25	13558992	13614863	-1	13569234
ENSDARG00000090063	25	13558992	13614863	-1	13614702
ENSDARG00000090063	25	13558992	13614863	-1	13614863
ENSDARG00000090063	25	13558992	13614863	-1	13614702
ENSDARG00000033789	1	55780128	55785722	-1	55785722
ENSDARG00000033789	1	55780128	55785722	-1	55785722
ENSDARG00000017522	19	11632834	11846958	-1	11846958
ENSDARG00000077860	21	26408016	26483237	-1	26483237
ENSDARG00000077860	21	26408016	26483237	-1	26483237
ENSDARG00000097025	21	26482517	26489393	1	26482517
ENSDARG00000052097	3	5538485	5555500	-1	5555500
ENSDARG00000052097	3	5538485	5555500	-1	5555500
ENSDARG00000098675	2	36122310	36122372	1	36122310
ENSDARG00000045015	11	329687	339847	1	329687
ENSDARG00000101490	19	3919591	3925886	-1	3925886
ENSDARG00000101490	19	3919591	3925886	-1	3925801
ENSDARG00000101490	19	3919591	3925886	-1	3925630
ENSDARG00000008100	7	38315647	38340674	-1	38340674
ENSDARG00000041340	16	4540981	4547193	-1	4546965
ENSDARG00000041340	16	4540981	4547193	-1	4547193
ENSDARG00000087757	15	25035947	25039083	-1	25039083
ENSDARG00000110990	15	25028482	25054730	1	25028482
ENSDARG00000092491	2	24900571	24901912	-1	24901912
ENSDARG00000045873	4	2092683	2099581	1	2092683
ENSDARG00000088072	3	25546672	25646149	-1	25646149
ENSDARG00000096208	4	44954486	44956819	1	44954486
ENSDARG00000070874	17	26815021	26826438	1	26815021
ENSDARG00000105588	7	28709931	28717559	-1	28717559
ENSDARG00000075339	2	2994052	3022655	1	2994052
ENSDARG00000075339	2	2994052	3022655	1	2994052
ENSDARG00000045641	25	26738450	26753196	-1	26753125
ENSDARG00000045641	25	26738450	26753196	-1	26753196
ENSDARG00000103025	10	6010570	6034397	1	6010574
ENSDARG00000103025	10	6010570	6034397	1	6013076
ENSDARG00000103025	10	6010570	6034397	1	6024189
ENSDARG00000103025	10	6010570	6034397	1	6010570
ENSDARG00000103025	10	6010570	6034397	1	6013162
ENSDARG00000061439	18	40471826	40477865	1	40471826
ENSDARG00000102553	2	36098750	36098812	1	36098750
ENSDARG00000104269	16	46093254	46097432	-1	46097432
ENSDARG00000052520	1	49933652	49950643	-1	49947482
ENSDARG00000052520	1	49933652	49950643	-1	49950576
ENSDARG00000052520	1	49933652	49950643	-1	49947290
ENSDARG00000052520	1	49933652	49950643	-1	49950643
ENSDARG00000018542	22	17828267	17831253	1	17828267
ENSDARG00000074253	13	1305363	1308020	-1	1308020
ENSDARG00000078768	15	24946321	24960781	-1	24960730
ENSDARG00000078768	15	24946321	24960781	-1	24960781
ENSDARG00000100858	7	2980248	3011514	-1	3011514
ENSDARG00000062357	23	18177281	18287618	-1	18286822
ENSDARG00000062357	23	18177281	18287618	-1	18287618
ENSDARG00000019135	20	34868933	34902205	1	34868933
ENSDARG00000019135	20	34868933	34902205	1	34870517
ENSDARG00000068711	9	15936216	16062938	-1	16062938
ENSDARG00000043002	3	5403848	5413018	-1	5413018
ENSDARG00000090854	14	35392736	35405723	-1	35405723
ENSDARG00000090854	14	35392736	35405723	-1	35400671
ENSDARG00000056683	24	33767771	33780387	-1	33780387
ENSDARG00000098676	6	27108048	27126829	1	27108048
ENSDARG00000012446	7	9008372	9046302	1	9041174
ENSDARG00000012446	7	9008372	9046302	1	9041175
ENSDARG00000012446	7	9008372	9046302	1	9008372
ENSDARG00000078567	8	13700605	13788311	1	13769514
ENSDARG00000078567	8	13700605	13788311	1	13700605
ENSDARG00000021444	19	24161712	24163845	-1	24163845
ENSDARG00000029263	3	23697997	23771945	1	23731109
ENSDARG00000029263	3	23697997	23771945	1	23698034
ENSDARG00000029263	3	23697997	23771945	1	23738215
ENSDARG00000029263	3	23697997	23771945	1	23726148
ENSDARG00000029263	3	23697997	23771945	1	23743139
ENSDARG00000029263	3	23697997	23771945	1	23737795
ENSDARG00000029263	3	23697997	23771945	1	23742868
ENSDARG00000029263	3	23697997	23771945	1	23697997
ENSDARG00000030472	12	26566422	26587231	-1	26587231
ENSDARG00000030472	12	26566422	26587231	-1	26582607
ENSDARG00000042515	20	28960340	28974309	1	28960340
ENSDARG00000042018	9	6578580	6601988	1	6578580
ENSDARG00000042018	9	6578580	6601988	1	6592710
ENSDARG00000042018	9	6578580	6601988	1	6587364
ENSDARG00000042018	9	6578580	6601988	1	6587056
ENSDARG00000036943	19	329808	340641	-1	340347
ENSDARG00000036943	19	329808	340641	-1	340641
ENSDARG00000036943	19	329808	340641	-1	336777
ENSDARG00000015476	18	19820008	19880934	1	19820008
ENSDARG00000015476	18	19820008	19880934	1	19842569
ENSDARG00000015476	18	19820008	19880934	1	19820009
ENSDARG00000089954	17	6603691	6641548	-1	6641535
ENSDARG00000089954	17	6603691	6641548	-1	6641548
ENSDARG00000089954	17	6603691	6641548	-1	6613458
ENSDARG00000089954	17	6603691	6641548	-1	6618574
ENSDARG00000002355	5	42124706	42132825	1	42124765
ENSDARG00000002355	5	42124706	42132825	1	42124706
ENSDARG00000069537	18	7479201	7481036	-1	7481036
ENSDARG00000044457	6	29004062	29007493	-1	29007493
ENSDARG00000087798	23	41799748	41802335	1	41799748
ENSDARG00000087798	23	41799748	41802335	1	41800052
ENSDARG00000101106	1	44027611	44037843	-1	44037843
ENSDARG00000093521	8	13597405	13600274	-1	13600274
ENSDARG00000045443	24	4767806	4782052	-1	4782052
ENSDARG00000045443	24	4767806	4782052	-1	4768955
ENSDARG00000058958	3	5344999	5362347	-1	5353442
ENSDARG00000058958	3	5344999	5362347	-1	5362347
ENSDARG00000058958	3	5344999	5362347	-1	5361959
ENSDARG00000019293	9	34950942	34968429	1	34950942
ENSDARG00000019293	9	34950942	34968429	1	34950942
ENSDARG00000019293	9	34950942	34968429	1	34952203
ENSDARG00000019293	9	34950942	34968429	1	34952269
ENSDARG00000094455	21	12584756	12607941	-1	12607941
ENSDARG00000097849	3	23686198	23686700	-1	23686700
ENSDARG00000078167	4	44470531	44518893	-1	44518623
ENSDARG00000078167	4	44470531	44518893	-1	44509477
ENSDARG00000078167	4	44470531	44518893	-1	44518893
ENSDARG00000078167	4	44470531	44518893	-1	44508975
